name_ja,name_en,zip,lat,lng,address_ja,address_en,phone,url_ja,url_en,url_zh,url_ko,,dentistry,internal_medicine,dermatology,obgyn,psychiatry,pediatrics
Luz大森アプル歯科医院,Luz Omori Apl' Dental Clinic,143-0016,35.5864891,139.7282409,東京都大田区大森北1-10-14 Luz大森8F,"8F, Luz Omori, 1-10-14 Omorikita, Ota-ku, Tokyo",03-5767-7507,http://www.apl-omori.com/index.html ,http://www.apl-omori.com/en/,http://www.apl-omori.com/cn/,,歯科：EN、ZH、MY,"en,zh,my",,,,,
いけむら歯科クリニック,Ikemura Dental Clinic,146-0082,35.5721512,139.7014882,東京都大田区池上7-6-8,"7-6-8 Ikegami, Ota-ku, Tokyo",03-3751-3122,http://www.ikemura-dental.com/ ,,,,歯科：EN,en,,,,,
医療法人社団 泰静会 大西医院,Taiseikai Onishi Clinic,143-0014,35.5690592,139.7317331,東京都大田区大森中1-18-6,"1-18-6 Omorinaka, Ota-ku, Tokyo",03-3765-0024,http://www.tsk-onishi-iin.com,http://www.tsk-onishi-iin.com,,,内科：EN 皮膚科：EN 肛門内科：EN,,en,en,,,
江川歯科医院,Egawa Dental Clinic,144-0051,35.5636727,139.7146037,東京都大田区西蒲田7-6-8,"7-6-8 Nishikamata, Ota-ku, Tokyo",03-5711-0418,,,,,歯科：EN、ZH,"en,zh",,,,,
大鳥居医院,Ootorii Hospital,144-0034,35.5557628,139.7385146,東京都大田区西糀谷3-8-16,"3-8-16 Nishikojiya, Ota-ku, Tokyo",03-3741-0118,http://ootorii-hosp.com,,,,内科：EN 小児科：EN 産科：EN 婦人科：EN,,en,,en,,en
大森・東京歯科口腔外科,Omori・Tokyo Oral & Maxillofacial Surgery,143-0016,35.5864891,139.7282409,東京都大田区大森北1-10-14 Luz大森8F,"8F, Luz Omori, 1-10-14 Omorikita, Ota-ku, Tokyo",03-5767-7505,http://www.apl-omori.com/index.html,http://www.apl-omori.com/en/,http://www.apl-omori.com/cn/,,歯科：EN、ZH、MY,"en,zh,my",,,,,
かまたメンタルクリニック,Kamata Mental Clinic,144-0051,35.5612766,139.714873,東京都大田区西蒲田8-1-7 グランタウンビル3F,"3F, Grantown Building, 8-1-7 Nishikamata, Ota-ku, Tokyo",03-5714-7828,http://www.kamata-mental.com/,,,,精神科：EN,,,,,en,
きゅーちゃん診療所,Qchan Shinryosho Clinic,144-0047,35.5515237,139.7312541,東京都大田区萩中2-6-17-101,"2-6-17-101 Haginaka, Ota-ku, Tokyo",03-6423-9775,http://q-ch.org,,,,皮膚科：EN,,,en,,,
東京流通センター 歯科クリニック,Tokyo Ryutsu Center Dental Clinic,143-0006,35.5778941,139.7492225,東京都大田区平和島6-1-1 東京流通センタービル1階131号,"Room 13, 1F, Tokyo Ryutsu Center Building, 6-1-1 Heiwajima, Ota-ku, Tokyo",03-3767-3341,http://trcdc.com,,,,歯科：EN,en,,,,,
医療法人社団 森和会 森歯科医院,Mori Dental Clinic,143-0016,35.5867884,139.7283607,東京都大田区大森北 1-11-18-201,1-11-18-201 oomorikita Oota-ku Tokyo,03-3765-0418,http://oomori-moridentalclinic.com,,,,"歯科：EN,ZH","en,zh",,,,,
川名部歯科医院,kawanabe dental clinic,144-0034,35.5545646,139.7306655,東京都大田区西糀谷4-21-4Tビル1・2階,"1st and 2nd floor, 4-21-4 T Building, Nishikoujiya, Ota-ku, Tokyo",03-3744-4182,http://koujiya-haisha.com/,,,,歯科：英語,en,,,,,
東邦大学医療センター大森病院,Toho University Omori Medical Center,143-8541,35.5689429,139.7241145,東京都大田区大森西 6-１１-１,"6-11-1 Omorinishi, Ota-ku, Tokyo",03-3762-4151(代）内線3533 英語・中国語,https://www.omori.med.toho-u.ac.jp,https://www.omori.med.toho-u.ac.jp,,,"産婦人科・耳鼻咽喉科・乳腺内分泌科・眼科・東洋医学・リプロダクション・麻酔科・消化器外科・糖尿病・代謝・内分泌科・腎臓科 対応言語：EN,ZH","en,zh","en,zh",,"en,zh",,
地方独立行政法人東京都立病院機構 東京都立荏原病院,Tokyo Metropolitan Health and Hospitals Corporation Ebara Hospital,145-0065,35.5938722,139.6929721,東京都大田区東雪谷四丁目5-10,"4-5-10 Higashiyukigaya, Ota-ku, Tokyo",03-5734-8000,https://www.tmhp.jp/ebara/,https://www.tmhp.jp/ebara/en/,https://www.tmhp.jp/ebara/zh/,https://www.tmhp.jp/ebara/ko/,内、循内、神内、精神、小児、外、乳腺外、整外、脳外、形外、皮膚、泌、産婦、眼、耳鼻、リハ、放、歯、麻、感内、病理：EN,en,en,en,en,en,en
